episode: 940, score: 0.0, epsilon: 0.03
episode: 945, score: 0.0, epsilon: 0.03
episode: 950, score: 0.0, epsilon: 0.03
episode: 955, score: 0.0, epsilon: 0.03
episode: 960, score: 0.0, epsilon: 0.03
episode: 965, score: 100.0, epsilon: 0.03
episode: 970, score: 0.0, epsilon: 0.03
episode: 975, score: 0.0, epsilon: 0.03
episode: 980, score: 100.0, epsilon: 0.03
episode: 985, score: 0.0, epsilon: 0.03
episode: 990, score: 200.0, epsilon: 0.03
episode: 995, score: 0.0, epsilon: 0.03
marking, episode: 1000, score: 0.0, mean_score: 19.00, std_score: 48.36
episode: 1000, score: 0.0, epsilon: 0.03
---------------------------------------------------------------------------
KeyboardInterrupt                         Traceback (most recent call last)
<ipython-input-9-f79a11c02471> in <module>()
     10 
     11         # Behaviour learning
---> 12         dream(memory, wm, actor, critic, critic_target, optimizer_a, optimizer_c)
     13     critic_target.load_state_dict(critic.state_dict())
     14 

7 frames
/usr/local/lib/python3.6/dist-packages/torch/nn/functional.py in linear(input, weight, bias)
   1688     if input.dim() == 2 and bias is not None:
   1689         # fused op is marginally faster
-> 1690         ret = torch.addmm(bias, input, weight.t())
   1691     else:
   1692         output = input.matmul(weight.t())

KeyboardInterrupt: 
